Year,Outcome,Forecast
2020,Female_Total_Below_Poverty_Percent,13.34438914132517
2021,Female_Total_Below_Poverty_Percent,13.342448647396498
2022,Female_Total_Below_Poverty_Percent,13.342037042495129
2023,Female_Total_Below_Poverty_Percent,13.341949735551093
2024,Female_Total_Below_Poverty_Percent,13.34193121657221
2025,Female_Total_Below_Poverty_Percent,13.341927288447332
2026,Female_Total_Below_Poverty_Percent,13.341926455239133
2027,Female_Total_Below_Poverty_Percent,13.34192627850445
2018,Female_Under_18_Below_Poverty_Percent,17.254464740400863
2019,Female_Under_18_Below_Poverty_Percent,17.108281775832772
2020,Female_Under_18_Below_Poverty_Percent,17.046437264929004
2021,Female_Under_18_Below_Poverty_Percent,17.020273179803034
2022,Female_Under_18_Below_Poverty_Percent,17.009204140037415
2023,Female_Under_18_Below_Poverty_Percent,17.00452124588144
2024,Female_Under_18_Below_Poverty_Percent,17.002540089598654
2025,Female_Under_18_Below_Poverty_Percent,17.001701936933635
2026,Female_Under_18_Below_Poverty_Percent,17.001347346083847
2027,Female_Under_18_Below_Poverty_Percent,17.001197332039865
2018,Female_18_to_64_Below_Poverty_Percent,12.288175676756286
2019,Female_18_to_64_Below_Poverty_Percent,12.313928096148812
2020,Female_18_to_64_Below_Poverty_Percent,12.3126323642454
2021,Female_18_to_64_Below_Poverty_Percent,12.312697558941865
2022,Female_18_to_64_Below_Poverty_Percent,12.312694278673442
2023,Female_18_to_64_Below_Poverty_Percent,12.31269444372001
2024,Female_18_to_64_Below_Poverty_Percent,12.312694435415699
2025,Female_18_to_64_Below_Poverty_Percent,12.31269443583353
2026,Female_18_to_64_Below_Poverty_Percent,12.312694435812507
2027,Female_18_to_64_Below_Poverty_Percent,12.312694435813563
2018,Female_64_and_Over_Below_Poverty_Percent,11.21078266070503
2019,Female_64_and_Over_Below_Poverty_Percent,11.220951672701933
2020,Female_64_and_Over_Below_Poverty_Percent,11.230541959164801
2021,Female_64_and_Over_Below_Poverty_Percent,11.23958645576564
2022,Female_64_and_Over_Below_Poverty_Percent,11.24811622378449
2023,Female_64_and_Over_Below_Poverty_Percent,11.256160556782374
2024,Female_64_and_Over_Below_Poverty_Percent,11.263747081203421
2025,Female_64_and_Over_Below_Poverty_Percent,11.270901851251637
2026,Female_64_and_Over_Below_Poverty_Percent,11.277649438368186
2027,Female_64_and_Over_Below_Poverty_Percent,11.284013015616456
2018,Age-adjusted_Death_Rate_AllRaces_BothSexes,725.4098349485704
2019,Age-adjusted_Death_Rate_AllRaces_BothSexes,718.960549462149
2020,Age-adjusted_Death_Rate_AllRaces_BothSexes,712.5518860528563
2021,Age-adjusted_Death_Rate_AllRaces_BothSexes,706.1835888546506
2022,Age-adjusted_Death_Rate_AllRaces_BothSexes,699.8554036131119
2023,Age-adjusted_Death_Rate_AllRaces_BothSexes,693.5670776752912
2024,Age-adjusted_Death_Rate_AllRaces_BothSexes,687.3183599796231
2025,Age-adjusted_Death_Rate_AllRaces_BothSexes,681.1090010459021
2026,Age-adjusted_Death_Rate_AllRaces_BothSexes,674.9387529653226
2027,Age-adjusted_Death_Rate_AllRaces_BothSexes,668.8073693905802
2018,Age-adjusted_Death_Rate_AllRaces_Female,615.7550978272834
2019,Age-adjusted_Death_Rate_AllRaces_Female,611.8668762696274
2020,Age-adjusted_Death_Rate_AllRaces_Female,608.0345209362098
2021,Age-adjusted_Death_Rate_AllRaces_Female,604.2572291374297
2022,Age-adjusted_Death_Rate_AllRaces_Female,600.5342097167834
2023,Age-adjusted_Death_Rate_AllRaces_Female,596.864682885156
2024,Age-adjusted_Death_Rate_AllRaces_Female,593.2478800574941
2025,Age-adjusted_Death_Rate_AllRaces_Female,589.6830436918252
2026,Age-adjusted_Death_Rate_AllRaces_Female,586.1694271305901
2027,Age-adjusted_Death_Rate_AllRaces_Female,582.7062944442544
2018,Age-adjusted_Death_Rate_AllRaces_Male,851.564453505345
2019,Age-adjusted_Death_Rate_AllRaces_Male,838.6387640306332
2020,Age-adjusted_Death_Rate_AllRaces_Male,825.7229240647137
2021,Age-adjusted_Death_Rate_AllRaces_Male,812.816926102159
2022,Age-adjusted_Death_Rate_AllRaces_Male,799.920762643261
2023,Age-adjusted_Death_Rate_AllRaces_Male,787.0344261940265
2024,Age-adjusted_Death_Rate_AllRaces_Male,774.1579092661727
2025,Age-adjusted_Death_Rate_AllRaces_Male,761.2912043771229
2026,Age-adjusted_Death_Rate_AllRaces_Male,748.4343040500022
2027,Age-adjusted_Death_Rate_AllRaces_Male,735.5872008136333
2018,Age-adjusted_Death_Rate_Black_BothSexes,843.8509870712373
2019,Age-adjusted_Death_Rate_Black_BothSexes,833.6023148913957
2020,Age-adjusted_Death_Rate_Black_BothSexes,823.3539834491464
2021,Age-adjusted_Death_Rate_Black_BothSexes,813.1059927331607
2022,Age-adjusted_Death_Rate_Black_BothSexes,802.8583427321107
2023,Age-adjusted_Death_Rate_Black_BothSexes,792.6110334346686
2024,Age-adjusted_Death_Rate_Black_BothSexes,782.3640648295069
2025,Age-adjusted_Death_Rate_Black_BothSexes,772.1174369052987
2026,Age-adjusted_Death_Rate_Black_BothSexes,761.8711496507175
2027,Age-adjusted_Death_Rate_Black_BothSexes,751.6252030544368
2018,Age-adjusted_Death_Rate_Black_Female,697.7192594655656
2019,Age-adjusted_Death_Rate_Black_Female,689.3385672579869
2020,Age-adjusted_Death_Rate_Black_Female,680.9579233769851
2021,Age-adjusted_Death_Rate_Black_Female,672.5773278222816
2022,Age-adjusted_Death_Rate_Black_Female,664.1967805935976
2023,Age-adjusted_Death_Rate_Black_Female,655.8162816906546
2024,Age-adjusted_Death_Rate_Black_Female,647.4358311131738
2025,Age-adjusted_Death_Rate_Black_Female,639.0554288608766
2026,Age-adjusted_Death_Rate_Black_Female,630.6750749334844
2027,Age-adjusted_Death_Rate_Black_Female,622.2947693307185
2018,Age-adjusted_Death_Rate_Black_Male,1038.0533902073462
2019,Age-adjusted_Death_Rate_Black_Male,1026.751876627534
2020,Age-adjusted_Death_Rate_Black_Male,1015.5936200338093
2021,Age-adjusted_Death_Rate_Black_Male,1004.5768045132927
2022,Age-adjusted_Death_Rate_Black_Male,993.6996371714561
2023,Age-adjusted_Death_Rate_Black_Male,982.9603478403437
2024,Age-adjusted_Death_Rate_Black_Male,972.3571887904923
2025,Age-adjusted_Death_Rate_Black_Male,961.8884344465024
2026,Age-adjusted_Death_Rate_Black_Male,951.5523811062159
2027,Age-adjusted_Death_Rate_Black_Male,941.3473466634522
2018,Age-adjusted_Death_Rate_White_BothSexes,729.7115859354576
2019,Age-adjusted_Death_Rate_White_BothSexes,724.9657345236104
2020,Age-adjusted_Death_Rate_White_BothSexes,720.2620674389044
2021,Age-adjusted_Death_Rate_White_BothSexes,715.6002097185979
2022,Age-adjusted_Death_Rate_White_BothSexes,710.979789732871
2023,Age-adjusted_Death_Rate_White_BothSexes,706.4004391552004
2024,Age-adjusted_Death_Rate_White_BothSexes,701.8617929329969
2025,Age-adjusted_Death_Rate_White_BothSexes,697.3634892585051
2026,Age-adjusted_Death_Rate_White_BothSexes,692.9051695399608
2027,Age-adjusted_Death_Rate_White_BothSexes,688.4864783730052
2018,Age-adjusted_Death_Rate_White_Female,620.6206428119565
2019,Age-adjusted_Death_Rate_White_Female,617.7891823000714
2020,Age-adjusted_Death_Rate_White_Female,615.0048217269351
2021,Age-adjusted_Death_Rate_White_Female,612.2667776084692
2022,Age-adjusted_Death_Rate_White_Female,609.5742794934632
2023,Age-adjusted_Death_Rate_White_Female,606.9265697467803
2024,Age-adjusted_Death_Rate_White_Female,604.3229033361672
2025,Age-adjusted_Death_Rate_White_Female,601.7625476226123
2026,Age-adjusted_Death_Rate_White_Female,599.2447821541897
2027,Age-adjusted_Death_Rate_White_Female,596.7688984633335
2018,Age-adjusted_Death_Rate_White_Male,853.6230922574124
2019,Age-adjusted_Death_Rate_White_Male,843.8796752883302
2020,Age-adjusted_Death_Rate_White_Male,834.1696343701909
2021,Age-adjusted_Death_Rate_White_Male,824.4928551734139
2022,Age-adjusted_Death_Rate_White_Male,814.8492237600541
2023,Age-adjusted_Death_Rate_White_Male,805.2386265824607
2024,Age-adjusted_Death_Rate_White_Male,795.6609504819401
2025,Age-adjusted_Death_Rate_White_Male,786.1160826874234
2026,Age-adjusted_Death_Rate_White_Male,776.6039108141389
2027,Age-adjusted_Death_Rate_White_Male,767.1243228622884
2018,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.62830139770324
2019,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.65598816882019
2020,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.68307366130787
2021,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.70957093324333
2022,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.73549275911897
2023,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.76085163600122
2024,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.78565978955547
2025,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.80992917994008
2026,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.83367150757253
2027,Average_Life_Expectancy_(Years)_AllRaces_BothSexes,78.8568982187702
2018,Average_Life_Expectancy_(Years)_AllRaces_Female,81.15614428064178
2019,Average_Life_Expectancy_(Years)_AllRaces_Female,81.21158383082935
2020,Average_Life_Expectancy_(Years)_AllRaces_Female,81.26632749643281
2021,Average_Life_Expectancy_(Years)_AllRaces_Female,81.3203840122877
2022,Average_Life_Expectancy_(Years)_AllRaces_Female,81.37376200358878
2023,Average_Life_Expectancy_(Years)_AllRaces_Female,81.4264699872662
2024,Average_Life_Expectancy_(Years)_AllRaces_Female,81.47851637334449
2025,Average_Life_Expectancy_(Years)_AllRaces_Female,81.52990946628442
2026,Average_Life_Expectancy_(Years)_AllRaces_Female,81.58065746630808
2027,Average_Life_Expectancy_(Years)_AllRaces_Female,81.63076847070728
2018,Average_Life_Expectancy_(Years)_AllRaces_Male,76.06285058324572
2019,Average_Life_Expectancy_(Years)_AllRaces_Male,76.02783043686993
2020,Average_Life_Expectancy_(Years)_AllRaces_Male,75.99481751878582
2021,Average_Life_Expectancy_(Years)_AllRaces_Male,75.96369678191815
2022,Average_Life_Expectancy_(Years)_AllRaces_Male,75.93435977327445
2023,Average_Life_Expectancy_(Years)_AllRaces_Male,75.90670425599606
2024,Average_Life_Expectancy_(Years)_AllRaces_Male,75.88063385307174
2025,Average_Life_Expectancy_(Years)_AllRaces_Male,75.85605771147242
2026,Average_Life_Expectancy_(Years)_AllRaces_Male,75.83289018553646
2027,Average_Life_Expectancy_(Years)_AllRaces_Male,75.8110505385022
2018,Average_Life_Expectancy_(Years)_Black_BothSexes,75.27361752113403
2019,Average_Life_Expectancy_(Years)_Black_BothSexes,75.25077071027914
2020,Average_Life_Expectancy_(Years)_Black_BothSexes,75.23098573219232
2021,Average_Life_Expectancy_(Years)_Black_BothSexes,75.21385225302177
2022,Average_Life_Expectancy_(Years)_Black_BothSexes,75.19901493011953
2023,Average_Life_Expectancy_(Years)_Black_BothSexes,75.18616604235343
2024,Average_Life_Expectancy_(Years)_Black_BothSexes,75.17503910807334
2025,Average_Life_Expectancy_(Years)_Black_BothSexes,75.16540335837053
2026,Average_Life_Expectancy_(Years)_Black_BothSexes,75.15705895100746
2027,Average_Life_Expectancy_(Years)_Black_BothSexes,75.14983282575635
2018,Average_Life_Expectancy_(Years)_Black_Female,78.55599781566058
2019,Average_Life_Expectancy_(Years)_Black_Female,78.60771905785057
2020,Average_Life_Expectancy_(Years)_Black_Female,78.65549033003539
2021,Average_Life_Expectancy_(Years)_Black_Female,78.69961329285543
